ILCD_Common_Validation.xsd;common;typesafeEnumClass;ScopeOfReviewValues;org.openlca.ilcd.commons;ReviewScope
ILCD_ContactDataSet.xsd;contact;class;AdministrativeInformationType;org.openlca.ilcd.contacts;AdministrativeInformation
ILCD_ContactDataSet.xsd;contact;class;ContactDataSetType;org.openlca.ilcd.contacts;Contact
ILCD_ContactDataSet.xsd;contact;class;ContactInformationType;org.openlca.ilcd.contacts;ContactInformation
ILCD_ContactDataSet.xsd;contact;class;DataEntryByType;org.openlca.ilcd.contacts;DataEntry
ILCD_ContactDataSet.xsd;contact;class;DataSetInformationType;org.openlca.ilcd.contacts;DataSetInformation
ILCD_ContactDataSet.xsd;contact;class;PublicationAndOwnershipType;org.openlca.ilcd.contacts;Publication
ILCD_FlowDataSet.xsd;flow;class;AdministrativeInformationType;org.openlca.ilcd.flows;AdministrativeInformation
ILCD_FlowDataSet.xsd;flow;class;CompletenessAvailabilityImpactFactorsType;org.openlca.ilcd.flows;ImpactFactorAvailability
ILCD_FlowDataSet.xsd;flow;class;ComplianceDeclarationsType;org.openlca.ilcd.flows;ComplianceDeclarationList
ILCD_FlowDataSet.xsd;flow;class;ComplianceType;org.openlca.ilcd.flows;ComplianceDeclaration
ILCD_FlowDataSet.xsd;flow;class;DataEntryByType;org.openlca.ilcd.flows;DataEntry
ILCD_FlowDataSet.xsd;flow;class;DataSetInformationType;org.openlca.ilcd.flows;DataSetInformation
ILCD_FlowDataSet.xsd;flow;class;FlowDataSetType;org.openlca.ilcd.flows;Flow
ILCD_FlowDataSet.xsd;flow;class;FlowInformationType;org.openlca.ilcd.flows;FlowInformation
ILCD_FlowDataSet.xsd;flow;class;FlowPropertiesType;org.openlca.ilcd.flows;FlowPropertyList
ILCD_FlowDataSet.xsd;flow;class;FlowPropertyType;org.openlca.ilcd.flows;FlowPropertyReference
ILCD_FlowDataSet.xsd;flow;class;GeographyType;org.openlca.ilcd.flows;Geography
ILCD_FlowDataSet.xsd;flow;class;LCIMethodType;org.openlca.ilcd.flows;LCIMethod
ILCD_FlowDataSet.xsd;flow;class;ModellingAndValidationType;org.openlca.ilcd.flows;ModellingAndValidation
ILCD_FlowDataSet.xsd;flow;class;NameType;org.openlca.ilcd.flows;FlowName
ILCD_FlowDataSet.xsd;flow;class;PublicationAndOwnershipType;org.openlca.ilcd.flows;Publication
ILCD_FlowDataSet.xsd;flow;class;QuantitativeReferenceType;org.openlca.ilcd.flows;QuantitativeReference
ILCD_FlowDataSet.xsd;flow;class;TechnologyType;org.openlca.ilcd.flows;Technology
ILCD_FlowPropertyDataSet.xsd;flowprop;class;AdministrativeInformationType;org.openlca.ilcd.flowproperties;AdministrativeInformation
ILCD_FlowPropertyDataSet.xsd;flowprop;class;ComplianceDeclarationsType;org.openlca.ilcd.flowproperties;ComplianceDeclarationList
ILCD_FlowPropertyDataSet.xsd;flowprop;class;ComplianceType;org.openlca.ilcd.flowproperties;ComplianceDeclaration
ILCD_FlowPropertyDataSet.xsd;flowprop;class;DataEntryByType;org.openlca.ilcd.flowproperties;DataEntry
ILCD_FlowPropertyDataSet.xsd;flowprop;class;DataSetInformationType;org.openlca.ilcd.flowproperties;DataSetInformation
ILCD_FlowPropertyDataSet.xsd;flowprop;class;DataSourcesTreatmentAndRepresentativenessType;org.openlca.ilcd.flowproperties;Representativeness
