"PAH, polycyclic aromatic hydrocarbons";"Emissions to air";"high. pop.";"kg";"9d1efa17-070a-4602-a65f-daf5056b0647";"PAH, polycyclic aromatic hydrocarbons";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Water, unspecified natural origin, UA";"Resources";"in water";"m3";"831f249e-53f2-49cf-a93c-7cee105f048e";"Water, unspecified natural origin";"93a60a56-a3c8-22da-a746-0800200c9a66";"Volume";"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";1
"Propane";"Emissions to air";;"kg";"3a6c936c-0276-4f11-9d98-1bd011387a6e";"Propane";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Iron";"Emissions to water";"groundwater, long-term";"kg";"9b6d6f07-ebc6-447d-a3c0-f2017d77d852";"Iron, ion";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Water, GR";"Emissions to water";"groundwater";"m3";"6e9312ec-1e02-4232-9589-0746bc67d4e6";"Water";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1000
"Water, RAF";"Emissions to water";;"m3";"995f3484-64f1-4d38-bc97-5364463e02b0";"Water";"93a60a56-a3c8-22da-a746-0800200c9a66";"Volume";"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";1
"Monocrotophos";"Emissions to soil";"agricultural";"kg";"33456751-d78b-465d-8635-52d71e77cf54";"Monocrotophos";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Iron";"Emissions to air";"low. pop.";"kg";"76152de4-9499-48f7-af98-a5d41842484a";"Iron";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Toluene";"Emissions to water";"river";"kg";"bb33742a-c5d5-4607-805f-13e4d3a155fd";"Toluene";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Quizalofop ethyl ester";"Emissions to air";"low. pop.";"kg";"07d6526a-f2b6-45a5-8ed0-5dff490cd95e";"Quizalofop-ethyl";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Bromacil";"Emissions to soil";"agricultural";"kg";"0427b106-61dd-4d4c-8a0b-ac7c0a5f7fe5";"Bromacil";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Lead";"Emissions to soil";"industrial";"kg";"67652827-017f-4856-8d0a-c97bac4c6562";"Lead";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Water, river, BR";"Resources";"in water";"m3";"8c75e7ab-8ab8-41e4-b394-c166ff5b050d";"Water, river";"93a60a56-a3c8-22da-a746-0800200c9a66";"Volume";"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";1
"Picloram";"Emissions to soil";"agricultural";"kg";"83d5b12c-781b-463a-81a2-cdc5918f75cf";"Picloram";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Chrysotile";"Resources";"in ground";"kg";"c5f5aeb8-7558-4a0c-9594-27621b9cfbc5";"Chrysotile, in ground";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"VOC, volatile organic compounds, unspecified origin";"Emissions to water";"ocean";"kg";"113746e5-66a9-4d8c-b72b-4a99e7fcd052";"VOC, volatile organic compounds, unspecified origin";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Chromium VI";"Emissions to air";"low. pop.";"kg";"03b279a7-4626-4703-a451-d0650599dbd9";"Chromium VI";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Xylene";"Emissions to air";;"kg";"5c234628-ab1e-4284-ae2b-f1c2f6883f71";"Xylene";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Nitrate";"Emissions to water";"river";"kg";"7ce56135-2ca5-4fba-ad52-d62a34bfeb35";"Nitrate";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Imazamox";"Emissions to air";"low. pop.";"kg";"52ae5a6f-af5a-4bbc-8a70-426afbe4e11f";"Imazamox";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"t-Butyl methyl ether";"Emissions to air";"high. pop.";"kg";"a793710a-1990-4e65-a95e-cfbbc5332355";"t-Butyl methyl ether";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Nitrogen, organic bound";"Emissions to water";"groundwater, long-term";"kg";"15cfc784-a719-4230-ad2e-f4104d56c427";"Nitrogen, organic bound";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Water, unspecified natural origin, RoW";"Resources";"in water";"m3";"831f249e-53f2-49cf-a93c-7cee105f048e";"Water, unspecified natural origin";"93a60a56-a3c8-22da-a746-0800200c9a66";"Volume";"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";1
"Propene";"Emissions to air";;"kg";"64165202-4870-47d0-8602-b85e5d672865";"Propene";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Sulfate";"Emissions to air";;"kg";"9b00c244-fcce-4d38-922b-601a81f2ba34";"Sulfate";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Thallium";"Emissions to water";"river";"kg";"d9008a06-991c-4acc-a33e-5483ffd2491e";"Thallium";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Toluene";"Emissions to air";;"kg";"3b1ecf8e-1d2c-4330-81da-a79f9068976d";"Toluene";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Formic acid, thallium(1+) salt";"Emissions to water";"river";"kg";"42411268-27a7-4276-9896-e47900fa0606";"Formate";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Ioxynil";"Emissions to soil";"agricultural";"kg";"6744b13d-2908-4725-88a3-1afd6696c899";"Ioxynil";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Water, river, DK";"Resources";"in water";"m3";"8c75e7ab-8ab8-41e4-b394-c166ff5b050d";"Water, river";"93a60a56-a3c8-22da-a746-0800200c9a66";"Volume";"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";1
"Ethylene oxide";"Emissions to air";"stratosphere + troposphere";"kg";"0bb66845-6ccf-4648-b565-2e704989d7c0";"Ethylene oxide";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Water, NO";"Emissions to water";"groundwater";"m3";"6e9312ec-1e02-4232-9589-0746bc67d4e6";"Water";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1000
"Diclofop-methyl";"Emissions to soil";"agricultural";"kg";"0f02d06c-c44d-4681-a677-eff6aa3cd7e0";"Diclofop-methyl";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Copper, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore";"Resources";"in ground";"kg";"73b7f080-b7ae-417c-b740-b4c9eabfb35a";"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Radium-228";"Emissions to water";"river";"kBq";"d2312bc4-af11-445f-aa07-20d95b2794bd";"Radium-228";"93a60a56-a3c8-17da-a746-0800200c9a66";"Radioactivity";"e9773595-284e-46dd-9671-5fc9ff406833";"kBq";1
"Diflufenzopyr-sodium";"Emissions to soil";"agricultural";"kg";"cc667a3d-e88b-42f7-b265-461b7d66837f";"Diflufenzopyr-sodium";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Oxamyl";"Emissions to soil";"agricultural";"kg";"aaa7a82f-7d09-48ed-8f08-8eb3c7eeb928";"Oxamyl";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Butane";"Emissions to air";"high. pop.";"kg";"892f10da-7bf2-42b3-b171-221989661a05";"Butane";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Transformation, from unknown";"Resources";"land";"m2";"29630a65-f38c-48a5-9744-c0121f586640";"Transformation, from unknown";"93a60a56-a3c8-19da-a746-0800200c9a66";"Area";"3ce61faa-5716-41c1-aef6-b5920054acc9";"m2";1
