"0b14d4cc-186e-4bab-a7fc-fffd448b0e2c";"Resource/land";"7d704b6f-d455-4f41-9c28-50b4f372f315";"natural resource";"land"
"231bda25-8d18-48b2-b5ba-9b5795e30317";"Emission to water/lake";"963f8022-3e2e-4be9-ad4d-b3b7a2282099";"water";"surface water"
"2d9498c8-6873-45e1-af33-e1a298c119b9";"Emission to air/unspecified";"7011f0aa-f5f9-4901-8c10-884ad8296812";"air";"unspecified"
"31a33ee5-e7c2-431e-990f-5ab1209cbc00";"Emission to water/ocean";"65f8d2a1-63ed-479c-b86c-3bcf38e86320";"water";"ocean"
"3779f888-b4cb-4503-81f0-e7f599277a89";"Resource/in air";"45bb416c-a63b-429f-8754-b3f76a069c43";"natural resource";"in air"
"3e34bea9-b96b-4a52-b0e9-2f117da18462";"Emission to soil/agricultural";"e1bc9a16-5b6a-494f-98ef-49f461b1a11e";"soil";"agricultural"
"5757a050-d6aa-470a-b1fc-f8deb7410b5a";"Emission to air/low population density, long-term";"23dbff79-8037-43e7-b270-5a3da416a284";"air";"low population density, long-term"
"65632802-cee7-4319-b270-b7dfe66bcabd";"Resource/in water";"30347aef-a90b-46ba-8746-b53741aa779d";"natural resource";"in water"
"6e54f561-d63a-4a49-bec9-55468f56a698";"Emission to water/ground water";"a119c440-7e83-4655-a874-97fe1468315a";"water";"ground-"
"7c393da4-5f55-41d5-baa2-4216a299c21c";"Emission to air/high population density";"e8d7772c-55ca-4dd7-b605-fee5ae764578";"air";"urban air close to ground"
"8291c777-3f1e-46be-a550-fe50fd677753";"Emission to air/low population density";"be7e06e9-0bf5-462e-99dc-fe4aee383c48";"air";"non-urban air or from high stacks"
"870110ab-6bbf-4149-beb6-ef0402b6ba6c";"Emission to water/fresh water";"963f8022-3e2e-4be9-ad4d-b3b7a2282099";"water";"surface water"
"87f48832-e550-458c-885a-d2a4c02e5543";"Emission to water/river, long-term";"aa4362e0-b20a-448b-b2a0-261f4510deb5";"water";"ground-, long-term"
"90b2f926-e261-4df0-b435-63b0c660101e";"Emission to water/fres water, long-term";"aa4362e0-b20a-448b-b2a0-261f4510deb5";"water";"ground-, long-term"
"97f511b2-9031-438f-aa90-d514709cd109";"Emission to water/river";"963f8022-3e2e-4be9-ad4d-b3b7a2282099";"water";"surface water"
"a56b521d-ca6c-4d43-9876-7e944c78392d";"Emission to soil/forestry";"15f47463-77ea-40d0-bfe8-ca632819f556";"soil";"forestry"
"a99b1904-6e54-4d02-983a-2b0ec1263a28";"Emission to water/ground water, long-term";"aa4362e0-b20a-448b-b2a0-261f4510deb5";"water";"ground-, long-term"
"b3834b67-5caf-41ea-bf50-0c8962ef9b6d";"Emission to water/unspecified";"e47f0a6c-3be8-4027-9eee-de251784f708";"water";"unspecified"
"c2f5c3a9-70a8-443e-972d-c0cdf5ef1f57";"Emission to soil/industrial";"912f1ae3-734e-4cc6-bbf7-0f36843cd7de";"soil";"industrial"
"c62956a1-36e2-472a-9d7b-76f6ed030501";"Emission to water/fossil-";"a119c440-7e83-4655-a874-97fe1468315a";"water";"ground-"
"d4e9a1fa-e2d0-44f1-9243-acc0db978d0f";"Resource/unspecified";"6a098164-9f04-4f65-8104-ffab7f2677f3";"natural resource";"in ground"
"d734414d-8bcf-497f-9896-b96761d6b488";"Resource/in ground";"6a098164-9f04-4f65-8104-ffab7f2677f3";"natural resource";"in ground"
"e02cb1ea-727e-42fa-9ea1-65cfc8195452";"Emission to air/lower stratosphere+upper troposphere";"f335ce0e-b830-475a-adab-03858d9cbdaf";"air";"lower stratosphere + upper troposphere"
"e41f6688-ff59-4733-9d6f-8744095382c1";"Resource/biotic";"2d0acbd3-2083-4011-9a29-20c626b23dc3";"natural resource";"biotic"
"f5d93540-81ed-11e0-b278-0800200c9a66";"Emission to water/surface water";"963f8022-3e2e-4be9-ad4d-b3b7a2282099";"water";"surface water"
"fbeac9d8-cfd7-49a5-bc43-0d7b39fa4345";"Emission to soil/unspecified";"dbeb0ac7-0dec-439e-887a-9924cc8005dd";"soil";"unspecified"
